34.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DB,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WORKFLOW,INFO
22:44:22.0 (98506)|EXECUTION_STARTED
22:44:22.0 (132533)|CODE_UNIT_STARTED|[EXTERNAL]|TRIGGERS
22:44:22.0 (170243)|CODE_UNIT_STARTED|[EXTERNAL]|01q61000000kQuX|alagukannan.eventsTrigger on Event trigger event BeforeUpdate for [a0E61000002D75G]
22:44:22.0 (236422)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
22:44:22.0 (325651)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
22:44:22.0 (762596)|HEAP_ALLOCATE|[72]|Bytes:3
22:44:22.0 (825720)|HEAP_ALLOCATE|[77]|Bytes:152
22:44:22.0 (845628)|HEAP_ALLOCATE|[342]|Bytes:408
22:44:22.0 (867302)|HEAP_ALLOCATE|[355]|Bytes:408
22:44:22.0 (886573)|HEAP_ALLOCATE|[467]|Bytes:48
22:44:22.0 (932478)|HEAP_ALLOCATE|[139]|Bytes:6
22:44:22.0 (962596)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
22:44:22.0 (1012068)|VARIABLE_SCOPE_BEGIN|[1]|this|alagukannan.eventsTrigger|true|false
22:44:22.0 (1391768)|VARIABLE_ASSIGNMENT|[1]|this|{}|0x4a88fcaa
22:44:22.0 (1437620)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
22:44:22.0 (1449854)|VARIABLE_SCOPE_BEGIN|[1]|this|alagukannan.eventsTrigger|true|false
22:44:22.0 (1471766)|VARIABLE_ASSIGNMENT|[1]|this|{}|0x4a88fcaa
22:44:22.0 (1525515)|STATEMENT_EXECUTE|[1]
22:44:22.0 (1531493)|STATEMENT_EXECUTE|[10]
22:44:22.0 (1538611)|HEAP_ALLOCATE|[10]|Bytes:20
22:44:22.0 (1544140)|HEAP_ALLOCATE|[10]|Bytes:5
22:44:22.0 (1584923)|METHOD_ENTRY|[1]|01p61000007124T|EventsDomainController.EventsDomainController()
22:44:22.0 (1593758)|STATEMENT_EXECUTE|[1]
22:44:22.0 (1602107)|STATEMENT_EXECUTE|[1]
22:44:22.0 (1609766)|METHOD_EXIT|[1]|EventsDomainController
22:44:22.0 (1617291)|HEAP_ALLOCATE|[10]|Bytes:8
22:44:22.0 (1634535)|CONSTRUCTOR_ENTRY|[10]|01p61000007124T|<init>()
22:44:22.0 (1695375)|VARIABLE_SCOPE_BEGIN|[1]|this|alagukannan.EventsDomainController|true|false
22:44:22.0 (1865295)|VARIABLE_ASSIGNMENT|[1]|this|{}|0x2a663e9e
22:44:22.0 (1878945)|HEAP_ALLOCATE|[23]|Bytes:6
22:44:22.0 (1921378)|STATEMENT_EXECUTE|[1]
22:44:22.0 (1925333)|STATEMENT_EXECUTE|[23]
22:44:22.0 (1933422)|HEAP_ALLOCATE|[23]|Bytes:4
22:44:22.0 (2027664)|VARIABLE_ASSIGNMENT|[23]|this.eventHandlerMapping|{"s":1,"v":{}}|0x2a663e9e
22:44:22.0 (2037672)|CONSTRUCTOR_EXIT|[10]|01p61000007124T|<init>()
22:44:22.0 (2057669)|HEAP_ALLOCATE|[50]|Bytes:5
22:44:22.0 (2077417)|HEAP_ALLOCATE|[56]|Bytes:5
22:44:22.0 (2087542)|HEAP_ALLOCATE|[64]|Bytes:7
22:44:22.0 (2140958)|VARIABLE_ASSIGNMENT|[10]|this.myhandler|0x2a663e9e|0x4a88fcaa
22:44:22.0 (2149226)|STATEMENT_EXECUTE|[12]
22:44:22.0 (2264751)|HEAP_ALLOCATE|[12]|Bytes:12
22:44:22.0 (2271776)|HEAP_ALLOCATE|[12]|Bytes:11
22:44:22.0 (2339344)|HEAP_ALLOCATE|[12]|Bytes:12
22:44:22.0 (2344685)|HEAP_ALLOCATE|[12]|Bytes:11
22:44:22.0 (2363036)|HEAP_ALLOCATE|[12]|Bytes:12
22:44:22.0 (2367345)|HEAP_ALLOCATE|[12]|Bytes:13
22:44:22.0 (2382019)|HEAP_ALLOCATE|[12]|Bytes:12
22:44:22.0 (2385786)|HEAP_ALLOCATE|[12]|Bytes:11
22:44:22.0 (2399943)|HEAP_ALLOCATE|[12]|Bytes:12
22:44:22.0 (2403576)|HEAP_ALLOCATE|[12]|Bytes:12
22:44:22.0 (2418142)|HEAP_ALLOCATE|[12]|Bytes:12
22:44:22.0 (2421654)|HEAP_ALLOCATE|[12]|Bytes:12
22:44:22.0 (2435847)|HEAP_ALLOCATE|[12]|Bytes:12
22:44:22.0 (2439392)|HEAP_ALLOCATE|[12]|Bytes:12
22:44:22.0 (2640596)|HEAP_ALLOCATE|[12]|Bytes:6
22:44:22.0 (2647183)|HEAP_ALLOCATE|[12]|Bytes:5
22:44:22.0 (2670834)|METHOD_ENTRY|[1]|01p61000007124Y|EventsInsertAfterHandler.EventsInsertAfterHandler()
22:44:22.0 (2677849)|STATEMENT_EXECUTE|[1]
22:44:22.0 (2686153)|STATEMENT_EXECUTE|[1]
22:44:22.0 (3145517)|SYSTEM_MODE_ENTER|false
22:44:22.0 (3168070)|HEAP_ALLOCATE|[12]|Bytes:5
